Model,Deceive,Detect,Disclose
Claude Opus 4.1,0.21 ± 0.24,0.35 ± 0.21,0.56 ± 0.34
Claude Sonnet 4,0.13 ± 0.23,0.39 ± 0.11,-0.87 ± 0.23
DeepSeek R1,0.95 ± 0.68,1.04 ± 0.10,1.32 ± 0.27
DeepSeek V3.1,0.35 ± 0.21,0.34 ± 0.14,0.27 ± 0.11
GPT-4.1 Mini,-0.61 ± 0.11,0.23 ± 0.09,-0.50 ± 0.15
GPT-5,1.70 ± 0.51,0.81 ± 0.16,1.08 ± 0.62
GPT-5 Mini,-0.42 ± 0.08,0.49 ± 0.10,-0.65 ± 0.14
Gemini 2.5 Flash Lite,-0.12 ± 0.14,-0.07 ± 0.19,-0.27 ± 0.24
Grok 3 Mini,0.22 ± 0.27,0.46 ± 0.18,1.16 ± 0.18
Llama 3.1 8B,-1.05 ± 0.24,-2.45 ± 0.11,-0.75 ± 0.13
Mistral 7B Instruct,-0.51 ± 0.12,-0.76 ± 0.14,-0.72 ± 0.14
Qwen2.5 7B Instruct,-0.84 ± 0.14,-0.83 ± 0.19,-0.63 ± 0.20
