Model,Deceive,Deceive_Error,Detect,Detect_Error,Disclose,Disclose_Error
Claude Opus 4.1,0.5198155017932415,0.052248024712555005,2.578992045566774,0.2617515863427254,2.794794187566855,0.28548862231003796
Claude Sonnet 4,0.47964246627082413,0.04765171881189312,1.2213702898214298,0.10945580606261206,2.626888350033594,0.26798053926810833
DeepSeek V3.1,0.5845694068672089,0.05802472031330983,2.5479592255176757,0.25372601447261695,2.6347400985265996,0.26572866041124793
Gemini 2.5 Flash Lite,0.41776687266574847,0.04266599839397846,1.7136108294590875,0.1575689880844371,1.85315214554986,0.1736254156067282
GPT-4.1 Mini,0.2853995754009534,0.030327114985660483,1.47773952010824,0.13523365541343527,2.270971742544486,0.2216587351768963
GPT-5 Mini,0.3139257669123935,0.03292751625486622,1.4869867794934144,0.1342239772036048,3.104422267216482,0.31994630397279894
Grok 3 Mini,0.4775424069338538,0.04680374800716736,5.0578792585494545,0.6175799914401551,2.9148654095021644,0.30130641043685696
Llama 3.1 8B Instruct,0.2072857232872345,0.024517412999622724,1.3031251084167101,0.12132355271313161,0.27694817577384384,0.03199128915232446
Mistral 7B Instruct,0.3082498292433761,0.03234205144241046,1.284334969524838,0.11437761957129422,1.0527264716368094,0.09842604702813423
Qwen2.5 7B Instruct,0.2253982558930261,0.02527689886413104,1.3921098719085605,0.12396897883340513,1.043067884049881,0.09685688166407788
