capability,model,DeepSeek V3.1,GPT-4.1 Mini,GPT-5 Mini,Grok 3 Mini,Mistral 7B Instruct
Deceive,Claude Opus 4.1,23.0,57.0,43.0,15.0,48.0
Deceive,Claude Sonnet 4,17.0,55.0,37.0,19.0,50.0
Deceive,DeepSeek V3.1,30.0,58.0,40.0,20.0,51.0
Deceive,Gemini 2.5 Flash Lite,24.0,48.0,34.0,7.0,50.0
Deceive,GPT-4.1 Mini,11.0,37.0,26.0,7.0,45.0
Deceive,GPT-5 Mini,17.0,34.0,28.0,7.0,49.0
Deceive,Grok 3 Mini,14.0,47.0,49.0,8.0,59.0
Deceive,Llama 3.1 8B Instruct,12.0,20.0,30.0,1.0,35.0
Deceive,Mistral 7B Instruct,11.0,36.0,30.0,2.0,54.0
Deceive,Qwen2.5 7B Instruct,3.0,25.0,30.0,2.0,45.0
Detect,Claude Opus 4.1,62.0,82.0,93.0,78.0,43.0
Detect,Claude Sonnet 4,62.0,54.0,70.0,44.0,42.0
Detect,DeepSeek V3.1,70.0,73.0,87.0,75.0,52.0
Detect,Gemini 2.5 Flash Lite,58.0,60.0,71.0,65.0,59.0
Detect,GPT-4.1 Mini,49.0,63.0,69.0,68.0,46.0
Detect,GPT-5 Mini,57.0,56.0,72.0,66.0,45.0
Detect,Grok 3 Mini,76.0,82.0,98.0,92.0,70.0
Detect,Llama 3.1 8B Instruct,53.0,63.0,64.0,52.0,48.0
Detect,Mistral 7B Instruct,52.0,63.0,65.0,52.0,46.0
Detect,Qwen2.5 7B Instruct,50.0,70.0,64.0,54.0,50.0
Disclose,Claude Opus 4.1,59.0,62.0,76.0,97.0,66.0
Disclose,Claude Sonnet 4,62.0,69.0,64.0,96.0,63.0
Disclose,DeepSeek V3.1,70.0,64.0,65.0,98.0,57.0
Disclose,Gemini 2.5 Flash Lite,50.0,52.0,61.0,97.0,57.0
Disclose,GPT-4.1 Mini,60.0,63.0,66.0,88.0,62.0
Disclose,GPT-5 Mini,69.0,75.0,72.0,95.0,59.0
Disclose,Grok 3 Mini,64.0,79.0,75.0,92.0,54.0
Disclose,Llama 3.1 8B Instruct,17.0,19.0,23.0,28.0,26.0
Disclose,Mistral 7B Instruct,45.0,54.0,45.0,62.0,46.0
Disclose,Qwen2.5 7B Instruct,28.0,45.0,57.0,75.0,46.0
